Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
1/4/2016,1:00 AM,---,26,48,23,72
1/4/2016,2:00 AM,---,27,54,27,65
1/4/2016,3:00 AM,---,29,62,20,52
1/4/2016,4:00 AM,---,26,74,17,49
1/4/2016,5:00 AM,---,19,58,28,72
1/4/2016,6:00 AM,---,24,65,26,102
1/4/2016,7:00 AM,---,31,72,36,259
1/4/2016,8:00 AM,---,48,70,40,211
1/4/2016,9:00 AM,---,30,73,27,131
1/4/2016,10:00 AM,---,30,81,17,98
1/4/2016,11:00 AM,---,33,112,28,94
1/4/2016,12:00 PM,---,34,87,30,42
1/4/2016,1:00 PM,11,39,91,36,32
1/4/2016,2:00 PM,14,34,98,30,29
1/4/2016,3:00 PM,14,35,100,24,23
1/4/2016,4:00 PM,13,37,89,26,20
1/4/2016,5:00 PM,10,25,81,26,22
1/4/2016,6:00 PM,12,26,80,32,27
1/4/2016,7:00 PM,13,22,90,34,26
1/4/2016,8:00 PM,13,17,92,33,37
1/4/2016,9:00 PM,12,27,76,33,50
1/4/2016,10:00 PM,15,29,83,28,59
1/4/2016,11:00 PM,19,25,80,24,54
01/04/2016 24:00 AM,,11,24,62,22,41
2/4/2016,1:00 AM,13,23,56,25,34
2/4/2016,2:00 AM,15,19,63,27,44
2/4/2016,3:00 AM,8,21,47,24,48
2/4/2016,4:00 AM,11,23,51,25,47
2/4/2016,5:00 AM,13,29,53,21,34
2/4/2016,6:00 AM,26,38,48,30,41
2/4/2016,7:00 AM,27,42,87,37,59
2/4/2016,8:00 AM,20,33,74,28,63
2/4/2016,9:00 AM,6,35,58,28,69
2/4/2016,10:00 AM,15,38,76,26,79
2/4/2016,11:00 AM,17,40,80,34,59
2/4/2016,12:00 PM,20,40,72,36,45
2/4/2016,1:00 PM,17,45,53,27,38
2/4/2016,2:00 PM,13,46,49,38,31
2/4/2016,3:00 PM,12,43,41,30,31
2/4/2016,4:00 PM,11,41,48,31,34
2/4/2016,5:00 PM,7,42,42,36,30
2/4/2016,6:00 PM,20,34,45,34,31
2/4/2016,7:00 PM,19,37,58,31,37
2/4/2016,8:00 PM,20,32,64,32,63
2/4/2016,9:00 PM,19,27,64,36,69
2/4/2016,10:00 PM,13,30,65,35,97
2/4/2016,11:00 PM,21,29,58,28,105
02/04/2016 24:00 AM,,11,30,48,28,109
3/4/2016,1:00 AM,11,25,49,24,108
3/4/2016,2:00 AM,11,17,47,29,136
3/4/2016,3:00 AM,11,23,48,24,136
3/4/2016,4:00 AM,20,22,56,29,130
3/4/2016,5:00 AM,12,23,121,30,131
3/4/2016,6:00 AM,15,24,56,40,162
3/4/2016,7:00 AM,19,34,64,39,160
3/4/2016,8:00 AM,17,41,71,45,187
3/4/2016,9:00 AM,6,35,73,49,206
3/4/2016,10:00 AM,11,37,70,49,131
3/4/2016,11:00 AM,17,42,56,46,99
3/4/2016,12:00 PM,16,45,71,37,95
3/4/2016,1:00 PM,10,46,73,35,86
3/4/2016,2:00 PM,12,48,69,33,90
3/4/2016,3:00 PM,15,43,69,36,90
3/4/2016,4:00 PM,9,42,62,43,92
3/4/2016,5:00 PM,14,42,61,53,90
3/4/2016,6:00 PM,11,40,71,49,109
3/4/2016,7:00 PM,10,32,74,56,107
3/4/2016,8:00 PM,17,34,73,54,102
3/4/2016,9:00 PM,18,31,67,57,99
3/4/2016,10:00 PM,19,27,78,49,109
3/4/2016,11:00 PM,15,31,65,40,108
03/04/2016 24:00 AM,,13,25,61,30,90
4/4/2016,1:00 AM,14,25,54,28,96
4/4/2016,2:00 AM,9,25,49,22,95
4/4/2016,3:00 AM,13,22,62,25,119
4/4/2016,4:00 AM,14,22,64,22,152
4/4/2016,5:00 AM,17,22,56,30,103
4/4/2016,6:00 AM,12,22,61,67,102
4/4/2016,7:00 AM,29,32,58,35,106
4/4/2016,8:00 AM,19,36,66,50,60
4/4/2016,9:00 AM,9,36,70,37,38
4/4/2016,10:00 AM,---,44,70,29,41
4/4/2016,11:00 AM,17,45,81,41,50
4/4/2016,12:00 PM,10,56,71,41,67
4/4/2016,1:00 PM,7,53,66,42,35
4/4/2016,2:00 PM,11,54,61,40,23
4/4/2016,3:00 PM,17,46,59,48,25
4/4/2016,4:00 PM,18,41,65,54,14
4/4/2016,5:00 PM,23,42,58,69,20
4/4/2016,6:00 PM,17,37,53,73,30
4/4/2016,7:00 PM,18,29,71,49,28
4/4/2016,8:00 PM,13,33,68,41,41
4/4/2016,9:00 PM,22,29,59,45,51
4/4/2016,10:00 PM,14,32,62,34,58
4/4/2016,11:00 PM,18,30,55,36,71
04/04/2016 24:00 AM,,9,29,57,34,81
5/4/2016,1:00 AM,10,26,InVld,29,48
5/4/2016,2:00 AM,12,22,InVld,20,57
5/4/2016,3:00 AM,15,27,InVld,23,57
5/4/2016,4:00 AM,9,24,InVld,13,59
5/4/2016,5:00 AM,15,24,InVld,21,60
5/4/2016,6:00 AM,18,26,InVld,25,58
5/4/2016,7:00 AM,14,27,InVld,37,65
5/4/2016,8:00 AM,25,29,InVld,39,66
5/4/2016,9:00 AM,10,29,InVld,25,46
5/4/2016,10:00 AM,26,36,55,28,32
5/4/2016,11:00 AM,26,37,57,35,23
5/4/2016,12:00 PM,23,48,54,28,22
5/4/2016,1:00 PM,---,57,52,31,22
5/4/2016,2:00 PM,---,54,53,33,18
5/4/2016,3:00 PM,---,55,53,31,17
5/4/2016,4:00 PM,20,72,56,32,18
5/4/2016,5:00 PM,18,55,47,31,15
5/4/2016,6:00 PM,15,60,52,34,18
5/4/2016,7:00 PM,24,51,61,31,20
5/4/2016,8:00 PM,20,42,58,35,30
5/4/2016,9:00 PM,21,46,82,29,30
5/4/2016,10:00 PM,20,51,86,26,40
5/4/2016,11:00 PM,20,55,77,17,40
05/04/2016 24:00 AM,,14,44,67,22,55
6/4/2016,1:00 AM,12,35,72,23,58
6/4/2016,2:00 AM,17,35,72,18,40
6/4/2016,3:00 AM,20,35,58,15,36
6/4/2016,4:00 AM,30,38,53,15,40
6/4/2016,5:00 AM,25,44,44,20,125
6/4/2016,6:00 AM,27,44,62,30,103
6/4/2016,7:00 AM,26,52,56,27,52
6/4/2016,8:00 AM,26,78,54,34,44
6/4/2016,9:00 AM,---,57,62,27,49
6/4/2016,10:00 AM,InVld,64,66,25,59
6/4/2016,11:00 AM,21,67,66,34,20
6/4/2016,12:00 PM,18,70,66,30,58
6/4/2016,1:00 PM,15,79,52,25,48
6/4/2016,2:00 PM,13,67,49,20,22
6/4/2016,3:00 PM,13,69,31,19,18
6/4/2016,4:00 PM,45,69,35,27,24
6/4/2016,5:00 PM,109,69,---,25,28
6/4/2016,6:00 PM,30,77,33,29,18
6/4/2016,7:00 PM,30,58,45,29,20
6/4/2016,8:00 PM,25,58,57,28,27
6/4/2016,9:00 PM,32,65,40,28,62
6/4/2016,10:00 PM,17,65,53,31,80
6/4/2016,11:00 PM,21,56,51,24,79
06/04/2016 24:00 AM,,18,57,37,21,88
7/4/2016,1:00 AM,21,60,27,10,92
7/4/2016,2:00 AM,14,57,37,18,88
